Role,Skills Required
Frontend Developer,"HTML, CSS, JavaScript, React, Redux, REST API, Git"
Backend Developer,"Node.js, Express, MongoDB, SQL, REST API, JWT, Git"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, REST API, Git"
Data Analyst,"Python, Pandas, NumPy, SQL, Excel, Data Visualization, Power BI"
Machine Learning Engineer,"Python, Scikit-learn, TensorFlow, Pandas, NumPy, Data Preprocessing, Model Deployment"
DevOps Engineer,"Docker, Kubernetes, AWS, CI/CD, Linux, Shell Scripting, Git"
Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Networking, Linux"
Mobile App Developer,"Java/Kotlin, Swift, Flutter, React Native, REST API, Firebase"
Cybersecurity Analyst,"Network Security, Cryptography, Linux, Python, Risk Assessment, SIEM Tools"
UI/UX Designer,"Figma, Adobe XD, Wireframing, Prototyping, User Research, Design Principles"
